id,categoria,subcategoria,item,marca_modelo,unidade,quantidade_inicial,estoque_minimo,preco_unit_min,preco_unit_max,prioridade,fase_compra,status_sanitario,ambiente,grupo_escolha,fornecedor,url,observacao,data_preco
1,Equipamentos,HIFU,Ultrassom micro e macrofocado,Ibramed Sonofocus,un,1,0,8091,8990,ALTA,Fase 2,VALIDAR REGISTRO E HABILITAÇÃO,Sala de procedimentos,HIFU,MedEstec,https://www.medestec.com.br/eletroterapia/hifu/novo-sonofocus-aparelho-hifu-de-ultrassom-focalizado-micro-e-macrofocado-de-alta-intensidade-ibramed,"Opção de entrada; confirmar kit, treinamento, assistência e registro 10360319004.",2026-08-29
2,Equipamentos,HIFU,Ultrassom micro e macrofocado,HTM Ultrafocus,un,1,0,9891,10990,MÉDIA,Fase 2,VALIDAR REGISTRO E HABILITAÇÃO,Sala de procedimentos,HIFU,HTM,https://loja.htmeletronica.com.br/ultrafocus-ultrassom-micro-e-macrofocado-htm,Alternativa intermediária; garantia publicada de 18 meses; registro 80212480022.,2026-08-29
3,Equipamentos,HIFU,Ultrassom micro e macrofocado,Medical San Ultramed HIFU,un,1,0,92160,106656,BAIXA,Expansão,VALIDAR REGISTRO E HABILITAÇÃO,Sala de procedimentos,HIFU,Medical San,https://www.medicalsan.com.br/en/tecnologias/ultramed-hifu/,Premium; cartucho 2D com 20.000 disparos; registro 81243819003; cotação obrigatória.,2026-08-29
4,Equipamentos,Radiofrequência,Radiofrequência compacta,HTM Effect,un,1,0,7821,8690,MÉDIA,Fase 2,VALIDAR REGISTRO E HABILITAÇÃO,Sala de procedimentos,RF,HTM,https://loja.htmeletronica.com.br/effect-radiofrequencia-compacta-de-alto-rendimento-htm,Comprar após definir protocolos iniciais para evitar sobreposição com HIFU.,2026-08-29
5,Equipamentos,Fotobiomodulação,Laser/LED portátil,Ibramed Laserpulse Portable,un,1,0,1980,2277,MÉDIA,Fase 2,VALIDAR REGISTRO E HABILITAÇÃO,Sala de procedimentos,FOTOBIO,BCMed,https://www.bcmed.com.br/novo-laserpulse-portable-aparelho-de-laserterapia-e-reabilitacao-ibramed,Opção econômica; confirmar probe e óculos compatíveis.,2026-08-29
6,Equipamentos,Fotobiomodulação,Plataforma LED/laser,HTM Fluence,un,1,0,2151,2390,MÉDIA,Fase 2,VALIDAR REGISTRO E HABILITAÇÃO,Sala de procedimentos,FOTOBIO,HTM,https://loja.htmeletronica.com.br/fluence-led-e-laser-em-um-so-aparelho-htm,Alternativa intermediária; confirmar cluster incluído.,2026-08-29
7,Equipamentos,Fotobiomodulação,Plataforma LED/laser,Ibramed Antares,un,1,0,3890,4474,BAIXA,Expansão,VALIDAR REGISTRO E HABILITAÇÃO,Sala de procedimentos,FOTOBIO,BCMed,https://www.bcmed.com.br/antares-plataforma-de-fotobiomodulacao-led-e-laser-ibramed,Premium; aplicadores podem ser vendidos separadamente.,2026-08-29
8,Equipamentos,Análise,Analisador portátil de pele,Smart GR Smart Analyzer,un,1,0,269,350,ALTA,Fase 1,VERIFICAR ENQUADRAMENTO,Avaliação/administração,ANALISE,Smart GR,https://smartgr.com.br/products/smart-analyzer-analisador-de-umidade-smart-gr,Entrada; não substitui avaliação clínica ou diagnóstico.,2026-08-29
9,Equipamentos,Análise,Luz de Wood e fotografia,Estek Derma Scan,un,1,0,4200,5000,BAIXA,Expansão,VALIDAR REGISTRO,Avaliação/administração,ANALISE,Estek,https://www.estek.com.br/aparelhos-equipamentos/derma-scan-ia-estek-p,Alternativa intermediária; conferir registro e suporte de smartphone.,2026-08-29
10,Equipamentos,Limpeza de pele,Alta frequência portátil,Ibramed HF,un,1,0,500,650,ALTA,Fase 1,VALIDAR REGISTRO E HABILITAÇÃO,Sala de procedimentos,LIMPEZA,DermoMed,https://www.dermomed.com.br/alta-frequencia-hf-ibramed,Entrada; exige kit de eletrodos íntegro.,2026-08-29
11,Equipamentos,Limpeza de pele,Peeling ultrassônico,Ibramed Sonopeel,un,1,0,2800,3300,MÉDIA,Fase 2,VALIDAR REGISTRO E HABILITAÇÃO,Sala de procedimentos,LIMPEZA,Ibramed,https://ibramed.com.br/peeling-ultrassonico/sonopeel/,Pode ser adiado se o protocolo inicial não exigir.,2026-08-29
12,Equipamentos,Limpeza de pele,Plataforma multifuncional,HTM Stimulus Face Clean,un,1,0,5841,6490,MÉDIA,Fase 2,VALIDAR REGISTRO E HABILITAÇÃO,Sala de procedimentos,LIMPEZA,HTM,https://loja.htmeletronica.com.br/stimulus-face-clean-plataforma-completa-para-limpeza-de-pele-htm,Alternativa à compra separada de alta frequência e peeling.,2026-08-29
