Subject,Grupo,Itens,Consumo e Estoque,Preços,Validade e Armazenamento,Status,Fontes,Ressalvas,Confiança,Error
"Algodão, gaze, compressas, cotonetes, hastes, espátulas e aplicadores descartáveis","Algodão, gaze, compressas, cotonetes, hastes, espátulas e aplicadores descartáveis","Algodão em disco/bola (Cremer/Apolo), pacote 500g, 4 pacotes; Gaze estéril (Cremer/Neve), caixa com 500 unidades, 2 caixas; Hastes flexíveis (Johnson's/Cremer), caixa com 150 unidades, 2 caixas; Aplicadores descartáveis Microbrush (KG Sorensen/FGM), tubo com 100 unidades, 2 tubos; Espátulas de madeira (Theoto/Talge), pacote com 100 unidades, 2 pacotes","Consumo médio por atendimento: 5 a 10 unidades de algodão, 2 a 4 pacotes de gaze estéril, 2 a 4 hastes flexíveis, 1 a 2 microbrushes e 1 a 2 espátulas. Estoque mínimo sugerido: 1 pacote ou caixa de cada item. Lógica de reposição: repor ao atingir o estoque mínimo, comprando volume suficiente para mais 30 dias de operação (aproximadamente 40 atendimentos), evitando acúmulo desnecessário.","Preços observados (data-base 29/08/2026): Algodão 500g R$ 25,00 a R$ 35,00; Gaze estéril (caixa) R$ 40,00 a R$ 60,00; Hastes flexíveis R$ 8,00 a R$ 12,00; Microbrush R$ 15,00 a R$ 25,00; Espátulas R$ 8,00 a R$ 15,00. Forma de pagamento: à vista no Pix/boleto ou parcelado no cartão.","Validade média de 3 a 5 anos a partir da data de fabricação. Armazenamento em local seco, limpo, ao abrigo da luz direta e umidade, em temperatura ambiente (15°C a 30°C). Cadeia fria não se aplica. Rastreabilidade pelo lote e registro Anvisa na embalagem externa [VERIFICAR].",USO GERAL,https://www.dentalcremer.com.br https://www.surya.com.br https://www.dentalspeed.com,Riscos: contaminação por armazenamento inadequado (exposição à umidade ou poeira) e perda da esterilidade em gazes com embalagem danificada. Dependências: fornecimento regular em distribuidoras de saúde. Pontos de verificação: inspecionar a integridade das embalagens estéreis no ato do recebimento e garantir que o lote e a validade estejam legíveis.,"Alta, itens de uso comum e baixo custo com ampla disponibilidade no mercado nacional.",
"Luvas, máscaras, respiradores, toucas, propés, aventais e proteção ocular","Luvas, máscaras, respiradores, toucas, propés, aventais e proteção ocular","Luva de Procedimento Nitrílica Sem Pó (Azul/Branca), Marcas: Supermax, Medix, Descarpack, Caixa c/ 100 un, Quantidade Inicial: 4 caixas (200 pares); Máscara Cirúrgica Tripla com Elástico, Marcas: Descarpack, SSPlus, Caixa c/ 50 un, Quantidade Inicial: 4 caixas (200 un); Touca Descartável Sanfonada TNT, Marcas: Descarpack, Medix, Pacote c/ 100 un, Quantidade Inicial: 2 pacotes (200 un); Propé Descartável TNT (Sapatilha), Marcas: Protdesc, Medix, Pacote c/ 100 un, Quantidade Inicial: 2 pacotes (200 un); Avental Descartável TNT Manga Longa (Gramatura 30g/m²), Marcas: Clean, Descarpack, Pacote c/ 10 un, Quantidade Inicial: 8 pacotes (80 un); Óculos de Proteção Incolor (Antirrisco/Antiembaçante), Marcas: Delta Plus, Danny, Unidade, Quantidade Inicial: 3 unidades (1 profissional + 1 paciente + 1 reserva)","Consumo médio por atendimento: 1 par de luvas (mais 1 extra para troca eventual), 1 máscara, 1 touca, 1 par de propés (paciente/acompanhante), 1 avental (dependendo do procedimento, uso diário ou por turno pelo profissional). Estoque mínimo: 1 caixa/pacote de cada item descartável, exceto avental (2 pacotes). Lógica de reposição: compras bimestrais, garantindo cobertura para 80 atendimentos (60 dias) com margem de segurança de 20-30%.","Luva Nitrílica (cx 100): R$ 25,00 a R$ 40,00; Máscara Tripla (cx 50): R$ 6,50 a R$ 13,00; Touca Sanfonada TNT (pct 100): R$ 8,00 a R$ 13,00; Propé TNT (pct 100): R$ 12,50 a R$ 30,00; Avental TNT 30g (pct 10): R$ 33,00 a R$ 65,00; Óculos de Proteção (un): R$ 5,00 a R$ 15,00. Data-base: 29/08/2026. Pagamento à vista (Pix/Boleto) apresenta descontos médios de 5% a 15%.","Validade: 3 a 5 anos para descartáveis (luvas, máscaras, toucas, propés, aventais) a partir da data de fabricação. Temperatura: ambiente (15°C a 30°C), local seco e ao abrigo da luz solar direta. Cadeia fria: não aplicável. Rastreabilidade: lote e validade na embalagem original; [VERIFICAR] registro Anvisa obrigatório para luvas, máscaras e aventais de uso em saúde; CA (Certificado de Aprovação) para óculos de proteção.",USO GERAL,https://www.dentalcremer.com.br/descartaveis/luvas.html https://magazinemedica.com.br/produtos/mascara-cirurgica-tripla-celastico-canvisa-50un-descarpack/ https://magazinemedica.com.br/produtos/avental-tnt-manga-longa-tnt-10-unidades-gramatura-30-medhosp/ https://magazinemedica.com.br/produtos/touca-sanfonada-elastica-em-tnt-100un-descarpack/ https://www.blumed7.com.br/prope-descartavel-tnt-pacote-com-100-unidades-p1587 https://www.epizeus.com.br/epi/oculos-de-protec-o,Riscos: rompimento de luvas de baixa qualidade; alergias (mesmo nitrílicas podem ter resíduos químicos); falta de registro Anvisa em lotes falsificados. Dependências: fornecedores locais para reposição emergencial. Pontos de verificação: conferir integridade das embalagens no recebimento e validade mínima de 12 meses na compra para evitar perdas.,"Alta. Os itens são de uso comum, padronizados e com ampla disponibilidade em distribuidores médicos brasileiros, com preços estáveis e conhecidos.",
"Lençóis de papel e TNT, campos, babadores, toalhas descartáveis, fitas e curativos","Lençóis de papel e TNT, campos, babadores, toalhas descartáveis, fitas e curativos","Lençol de Papel Hospitalar 70cmx50m, Plumax/Gupe Pel, Rolo, 4 unidades; Babador Odontológico Impermeável, HOSPFLEX/Supreme Medix, Pacote c/ 100, 1 unidade; Campo Cirúrgico Fenestrado Estéril 40x40cm, PolarFix/Health Quality, Pacote unitário, 20 unidades; Toalha Descartável Viscose 20x30cm, Ntflex/Missbela, Pacote c/ 100, 1 unidade; Fita Cirúrgica Micropore Bege 12,5mmx10m, 3M/Missner, Rolo, 2 unidades; Curativo Filme Transparente, M-TEC/Nexcare, Caixa c/ 50, 1 unidade","Consumo estimado de 1 lençol, 1 babador, 1 toalha e pedaços de fita por atendimento (total 40/mês). Campos fenestrados e curativos filmes para 20-30% dos procedimentos. Estoque mínimo de 15 dias (20 atendimentos) para garantir reposição antes do fim. Primeira compra calculada para 60 dias (80 atendimentos).","Lençol de Papel: R$ 17,53 a R$ 21,45 (Pix/Boleto); Babador Odontológico: R$ 15,00 a R$ 25,00; Campo Fenestrado: R$ 4,75 a R$ 7,45; Toalha Descartável: R$ 28,99 a R$ 53,23; Fita Micropore: R$ 8,00 a R$ 15,00; Curativo Filme: R$ 40,00 a R$ 60,00. Data-base: 29/08/2026.","Validade média de 2 a 5 anos. Armazenar em local seco, limpo e ao abrigo da luz solar direta. Não exige cadeia fria. [VERIFICAR] Registro Anvisa para todos os itens estéreis (como campos fenestrados) e fitas/curativos.",USO GERAL,"https://magazinemedica.com.br/categorias/descartaveis/lencois/ https://www.dentalcremer.com.br/descartaveis/babador-descartavel.html https://dentalpassaro.com.br/cirurgico/campo-cirurgico https://www.belissimadistribuidora.com.br/ProdutoId_1487,84/MANICURE/ACESSORIOS-MANICURE/TOALHA-DESCARTAVEL-MANICURE-100UN.html https://www.bisturi.com.br/3m-micropore-12-5mm-pele/p",Atenção ao prazo de entrega dos fornecedores. Campos fenestrados devem ter embalagem íntegra para manter esterilidade. Fitas microporosas podem perder aderência se armazenadas em local muito quente. [VERIFICAR] Necessidade de toalhas de maior gramatura/tamanho dependendo do procedimento.,Alta. Dados baseados em distribuidoras médicas e odontológicas conhecidas com preços consistentes no mercado.,
"Sabonetes, clorexidina, álcool, antissépticos de pele, detergente enzimático e desinfetantes de superfície","Sabonetes, clorexidina, álcool, antissépticos de pele, detergente enzimático e desinfetantes de superfície","Sabonete líquido antisséptico (Rioquímica/Asseptgel) frasco 1L, 2 unidades; Clorexidina degermante 2% (Riohex/Vic Pharma) frasco 1L, 2 unidades; Clorexidina alcoólica 0,5% (Riohex/Vic Pharma) frasco 1L, 2 unidades; Álcool 70% líquido (Tupi/Rioquímica) frasco 1L, 4 unidades; Álcool 70% gel (Asseptgel) frasco 500g, 3 unidades; Detergente enzimático (Riozyme/Endozime) frasco 1L, 1 unidade; Desinfetante de superfície (Surfic/Rioquímica) frasco 1L, 1 unidade","Consumo estimado de 10-20ml de antissépticos e sabonetes por atendimento, detergente enzimático rende múltiplos ciclos de lavagem por diluição; estoque mínimo de 1 frasco fechado para cada item; reposição acionada imediatamente ao abrir a última unidade do estoque.","Sabonete R$ 25,00; Clorexidina 2% R$ 45,00; Clorexidina 0,5% R$ 45,00; Álcool 70% líq R$ 12,00; Álcool 70% gel R$ 18,00; Detergente enzimático R$ 80,00; Desinfetante R$ 90,00. Faixa de preços observada para a data-base 29/08/2026, com pagamento à vista via PIX ou boleto.","Validade de 24 a 36 meses lacrado. Armazenar em temperatura ambiente (15°C a 30°C), ao abrigo da luz e umidade, sem necessidade de cadeia fria. [VERIFICAR] registro Anvisa de saneantes e prazo de validade após aberto, que pode ser reduzido conforme orientação do fabricante.",USO GERAL,https://www.dentalcremer.com.br https://www.surya.com.br https://www.rioquimica.com.br,"Produtos como álcool são inflamáveis e exigem armazenamento em local arejado e longe de fontes de calor. O detergente enzimático exige preparo diário e descarte após o uso, seguindo as normas da vigilância sanitária. Risco de ressecamento da pele dos profissionais pelo uso contínuo.","Alta, pois os produtos são padronizados pela Anvisa para biossegurança em serviços de saúde e estética.",
"Seringas, agulhas, cânulas, conectores e dispositivos para injetáveis condicionais","Seringas, agulhas, cânulas, conectores e dispositivos para injetáveis condicionais","Seringa 1ml Luer Lock (BD, Descarpack) - caixa c/ 100 - 1 caixa; Seringa 3ml Luer Lock (BD, Descarpack) - caixa c/ 100 - 1 caixa; Agulha 30G 13mm (BD, Descarpack) - caixa c/ 100 - 2 caixas; Agulha 32G 4mm para toxina botulínica (Lebel, BD) - caixa c/ 100 - 1 caixa; Cânula 22G 50mm (TSK, Derma Microcânula) - caixa c/ 10 - 4 caixas; Cânula 25G 50mm (TSK, Derma Microcânula) - caixa c/ 10 - 4 caixas; Conector Luer Lock para transferência - pacote c/ 10 - 1 pacote","Consumo estimado de 1 a 2 seringas/agulhas/cânulas por atendimento dependendo do procedimento (toxina, preenchimento, bioestimulador). Estoque mínimo de 30 dias (40 a 80 unidades de cada item principal). Reposição bimestral baseada no giro.","Seringas 1ml/3ml: R$ 40,00 a R$ 60,00/caixa; Agulhas 30G/32G: R$ 35,00 a R$ 90,00/caixa; Cânulas: R$ 150,00 a R$ 250,00/caixa. Data-base: 29/08/2026. Pagamento à vista no boleto ou parcelado no cartão.","Validade média de 3 a 5 anos. Armazenamento em temperatura ambiente, local seco e protegido da luz. Não exige cadeia fria. [VERIFICAR] Lote e validade na embalagem para rastreabilidade em prontuário.",USO GERAL,https://www.dentalcremer.com.br/ https://www.surya.com.br/ https://www.dentalspeed.com/,[VERIFICAR] Necessidade de registro ativo na Anvisa para todos os dispositivos. [VERIFICAR] Compatibilidade dos conectores Luer Lock com as seringas adquiridas. Descarte obrigatório em caixa coletora de perfurocortantes (Descarpack).,"Alta. Os itens e quantidades refletem o padrão para clínicas compactas de estética, com dados de mercado consistentes.",
"Anestésicos tópicos e injetáveis, hemostasia e curativos pós-procedimento, todos condicionais","Anestésicos tópicos e injetáveis, hemostasia e curativos pós-procedimento","Lidocaína 4% creme (Dermomax), bisnaga 30g, 4 unidades; Lidocaína 2% + Epinefrina 1:100.000 (Alphacaine/DFL), caixa 50 tubetes, 2 caixas; Esponja hemostática de colágeno (Hemospon/Maquira), caixa 10 unidades, 1 caixa; Fita microporosa 25mmx10m (3M), rolo, 4 unidades; Curativo hidrocoloide extrafino (DuoDerm/ConvaTec), caixa, 1 caixa; Creme reparador (Cicaplast Baume B5/La Roche-Posay), bisnaga 40ml, 3 unidades","Consumo médio de 0,5g de anestésico tópico e 1 a 2 tubetes de injetável por procedimento invasivo; curativos usados sob demanda (aprox. 5cm de fita ou 1 curativo por paciente). Estoque mínimo: 1 bisnaga de tópico, 1 caixa de injetável e 1 rolo de fita. Reposição a cada 60 dias com controle PEPS (Primeiro a Expirar, Primeiro a Sair).","Anestésico tópico: R$ 45,00 a R$ 70,00; Anestésico injetável: R$ 80,00 a R$ 120,00/caixa; Hemospon: R$ 40,00 a R$ 60,00; Fita microporosa: R$ 10,00 a R$ 15,00; Cicaplast: R$ 50,00 a R$ 70,00. Data-base 29/08/2026. Pagamento à vista no PIX ou boleto faturado [VERIFICAR].","Validade média de 12 a 24 meses. Armazenamento em temperatura ambiente (15°C a 30°C) [VERIFICAR], ao abrigo de luz e umidade. Sem necessidade de cadeia fria. Rastreabilidade obrigatória por lote para injetáveis.",BLOQUEADO ATÉ HABILITAÇÃO,https://www.dentalcremer.com.br https://www.suryadental.com.br https://www.consultaremedios.com.br,Anestésicos injetáveis exigem habilitação profissional e registro ativo no conselho de classe para compra. Risco de toxicidade sistêmica por sobredosagem de lidocaína. Necessidade de descarte adequado de tubetes como resíduo de saúde.,"Média, pois os preços são estimativas baseadas em histórico de mercado e requerem cotação atualizada junto aos distribuidores autorizados.",
"Toxinas botulínicas de marcas regularizadas, cadeia fria e compra inicial condicional",Toxinas Botulínicas,"Toxina Botulínica Tipo A 100U, Marca: Xeomin (Merz), Apresentação: Frasco-ampola, Quantidade Inicial: 15 frascos; Toxina Botulínica Tipo A 100U, Marca: Nabota (Rennova), Apresentação: Frasco-ampola, Quantidade Inicial: 15 frascos; Toxina Botulínica Tipo A 100U, Marca: Botulim (Blau Farmacêutica), Apresentação: Frasco-ampola, Quantidade Inicial: 10 frascos","O consumo médio é de 50U a 100U por atendimento para face completa. Para 40 atendimentos mensais, com compra inicial para 60 dias (80 atendimentos), estima-se a necessidade de aproximadamente 40 a 80 frascos de 100U. Recomenda-se estoque inicial de 40 frascos de 100U para atender a demanda inicial sem risco de perda por validade, considerando a reposição mensal. O estoque mínimo deve ser de 10 frascos de 100U para garantir a continuidade dos atendimentos.","Xeomin 100U: R$ 714,89 a R$ 794,32; Nabota 100U: R$ 637,54 a R$ 708,38; Botulim 100U: R$ 784,73 a R$ 799,00. Data-base: 29/08/2026. Pagamento à vista no Boleto/PIX ou parcelado no cartão.","Manter sob refrigeração entre 2°C e 8°C (cadeia fria rigorosa). Após reconstituição, utilizar em até 24 horas. Validade fechada: [VERIFICAR] na embalagem do fabricante. Rastreabilidade pelo lote obrigatória.",BLOQUEADO ATÉ HABILITAÇÃO,https://www.dentalspeed.com/harmonizacao-orofacial/toxina-botulinica.html https://www.dentalshop.com.br/harmonizacao-orofacial/toxina-botulinica https://www.tudobeloestetica.com.br/injetaveis-estetica/toxina-botulinica https://www.edilsonpinheiro.com.br/o-segredo-do-botox-no-rosto-a-importancia-das-quantidades-de-unidades-de-botox/,A compra é restrita a profissionais habilitados com registro no conselho de classe. O transporte e armazenamento exigem rigorosa cadeia fria (2°C a 8°C). A reconstituição deve seguir a bula de cada fabricante e o uso deve ser imediato ou em até 24 horas após a reconstituição.,"Alta. As informações foram baseadas em distribuidores oficiais brasileiros (Dental Speed, Dentalshop, Tudo Belo) e diretrizes de conselhos profissionais e regulatórios.",
Preenchedores de ácido hialurônico de marcas regularizadas e compra inicial condicional,Preenchedores de ácido hialurônico,"Ácido Hialurônico Reticulado; Rennova (Fill, Deep Line, Lift); Seringa 1ml; 20 unidades; Ácido Hialurônico Reticulado; Restylane (Kysse, Refyne, Defyne); Seringa 1ml; 20 unidades; Ácido Hialurônico Reticulado; Juvederm (Ultra, Voluma); Seringa 1ml; 20 unidades","Consumo estimado de 1 a 2 seringas (1-2ml) por atendimento, dependendo da área (lábios, sulcos, contorno). Para 40 atendimentos/mês, estima-se o uso de cerca de 60 seringas em 60 dias. O estoque mínimo recomendado é de 15 seringas para garantir reposição sem risco de vencimento. A reposição deve ser feita mensalmente com base no consumo real.","Faixa de R$ 208,89 a R$ 385,00 por seringa de 1ml (marcas de entrada/intermediárias como Rennova) e R$ 450,00 a R$ 1.150,00 por seringa de 1ml (marcas premium como Restylane e Juvederm). Data-base: 29/08/2026. Pagamento à vista no Pix ou boleto, com opções de parcelamento em até 6x a 12x sem juros dependendo do distribuidor.","Validade média de 12 a 24 meses a partir da fabricação. Armazenamento em temperatura ambiente controlada (2°C a 25°C), sem necessidade de cadeia fria estrita, protegido da luz solar direta. [VERIFICAR] temperatura específica na bula de cada fabricante. Rastreabilidade por lote obrigatória no prontuário do paciente.",BLOQUEADO ATÉ HABILITAÇÃO,https://www.tudobeloestetica.com.br/injetaveis-estetica/preenchedores https://www.rcommed.com.br/preenchedores https://www.dentalspeed.com/harmonizacao-orofacial/preenchedores.html https://www.dentalcremer.com.br/harmonizacao-orofacial/preenchedores.html,"Necessário verificar lote e validade no recebimento. Uso restrito a profissionais habilitados (médicos, dentistas, biomédicos estetas, farmacêuticos estetas, etc.). Risco de intercorrências como oclusão vascular requer ter hialuronidase em estoque. [VERIFICAR] registro Anvisa exato de cada lote adquirido.","Alta, as informações foram obtidas de distribuidores oficiais e sites especializados em estética no Brasil, com preços atualizados e produtos regulares.",
Bioestimuladores de colágeno de marcas regularizadas e compra inicial condicional,Bioestimuladores de colágeno,"Sculptra (Galderma), 2 frascos (150mg cada), 10 caixas (20 frascos); Elleva (Rennova), 1 frasco (210mg), 20 unidades; Radiesse Duo (Merz), 1 seringa (1,5cc), 20 unidades; Diamond (Rennova), 1 seringa (1,25ml), 20 unidades","O consumo estimado é de 1 frasco/seringa por atendimento para protocolos faciais e de 2 frascos para protocolos corporais/faciais extensos. Para uma clínica compacta com 40 atendimentos mensais focada em face, a necessidade média seria de cerca de 40 frascos/seringas por mês. Para a primeira compra de 60 dias (80 atendimentos), uma compra inicial condicional de 20 a 30 frascos/seringas de cada tipo principal garante estoque sem excesso. O estoque mínimo recomendado é de 10 unidades, com reposição a cada 15 dias.","Sculptra (2 frascos): R$ 1.648,03 a R$ 1.959,01; Elleva (210mg): R$ 949,41 a R$ 1.196,78; Radiesse Duo (1,5cc): R$ 621,00 a R$ 722,65; Diamond (1,25ml): R$ 458,97 a R$ 593,10. Preços baseados em pagamento à vista no boleto ou PIX em 29/08/2026.","Sculptra e Elleva (PLLA): Pó liofilizado, armazenar em temperatura ambiente até 30°C (Sculptra) ou 20°C (Elleva). Após reconstituição, armazenar conforme bula (geralmente sob refrigeração de 2 a 8°C ou até 30°C por tempo limitado, [VERIFICAR] tempo exato para cada marca após hidratação). Radiesse (CaHA): Armazenar em local com temperatura controlada, entre 15°C e 32°C. Não congelar. Rastreabilidade pelo número de lote e validade na embalagem é obrigatória.",BLOQUEADO ATÉ HABILITAÇÃO,https://www.suryadental.com.br/harmonizacao-orofacial/bioestimulador.html https://www.tudobeloestetica.com.br/injetaveis-estetica/bioestimuladores https://www.dentalcremer.com.br/harmonizacao-orofacial/bioestimuladores.html https://www.eadplus.com.br/wp-content//uploads/2021/11/Bioestimulador_de_Colageno_ELLEVA_o_PLLA_revolucionario_do_mercado.pdf https://bula.com.br/radiesse/cuidados-de-armazenamento http://200.199.142.163:8002/fotos_tratadas_site_14-03-2016/bulas/86907.PDF,"É imprescindível confirmar o registro atualizado na Anvisa para cada lote adquirido. Os bioestimuladores exigem treinamento técnico adequado e profundo conhecimento de anatomia facial. É necessário verificar o enquadramento profissional específico do executor (médico, dentista, biomédico esteta, farmacêutico esteta, enfermeiro esteta, esteticista) perante o respectivo conselho de classe, uma vez que há debates e atualizações contínuas sobre a autorização de não médicos para procedimentos injetáveis. Os produtos não devem ser injetados intravascularmente. A reconstituição de produtos liofilizados (como Sculptra e Elleva) deve seguir estritamente o tempo e o volume indicados pelo fabricante para evitar complicações como nódulos.","Alta, os preços foram verificados em distribuidoras confiáveis como Surya Dental e Tudo Belo Estética, e as regulamentações seguem a legislação brasileira e de conselhos de classe para injetáveis estéticos.",
"Kit de emergência e manejo de intercorrências, incluindo hialuronidase apenas sob prescrição/habilitação",Kit de emergência e manejo de intercorrências,"Hialuronidase (Biometil/Optimus) pó liofilizado 2000 ou 3000 UTR, 2 frascos; Adrenalina/Epinefrina (Hypofarma/Hipolabor) injetável 1mg/ml, 3 ampolas; Dexametasona (Decadron/Aché) injetável 4mg/ml, 3 ampolas; Pomada de Nitroglicerina 2% (Rectogesic), 1 bisnaga; Ácido Acetilsalicílico 100mg, 1 cartela; Prometazina injetável 50mg/2ml, 2 ampolas","Consumo zero na rotina normal, uso exclusivo em intercorrências. Estoque mínimo de 1 kit completo. Reposição imediata após uso ou 30 dias antes do vencimento.","Hialuronidase: R$ 180,00 a R$ 250,00; Adrenalina: R$ 8,00 a R$ 15,00/ampola; Dexametasona: R$ 20,00 a R$ 25,00/ampola; Nitroglicerina 2%: R$ 90,00 a R$ 120,00. Data-base: 29/08/2026. Pagamento à vista/Pix ou cartão.",Validade de 12 a 24 meses. Armazenar em temperatura ambiente (15°C a 30°C) [VERIFICAR]. Rastreabilidade obrigatória por lote e validade na ficha do paciente.,BLOQUEADO ATÉ HABILITAÇÃO,https://unicderm.com.br/ https://www.philippesouzastore.com/ https://www.pharmadent.com.br/ https://www.hospitalardistribuidora.com.br/ https://www.drogasil.com.br/,Aquisição e uso restritos a profissionais habilitados. Exige treinamento em suporte básico de vida e protocolos de oclusão/anafilaxia. Manter em local visível e de rápido acesso.,"Alta, os itens são padronizados na literatura de HOF e os preços foram verificados em fornecedores reais.",
